# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in English. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt.
#
# feats states the class and person of each sense, in the same order and with
# the same ";" separator as the gloss: v=verb, f=finite, g=grammatical,
# n=expression, o=other, followed by any persons (1s 2s 3s 1p 2p 3p). It is
# generated from the gloss, so correct the gloss and re-run — never this.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|you (one person or several)|f2s2p
island|land with water all around it|o
quit|to stop doing, to leave a job|v
appreciate|to be grateful for; to value|v;v
flower|coloured part of a plant that makes seeds|o
dollar|unit of money in the US|o
upset|unhappy and worried; to knock over|o;v
blame|to say who is at fault; responsibility for a fault|v;o
mum|mother (British)|o
screw|metal fastener with a spiral thread; to fasten with these; (vulgar) to have sex with|o;v;v
pop|sudden small sound; popular music; dad (informal); to burst|o;o;o;v
boyfriend|male romantic partner|o
mm-hmm|(sound meaning yes)|g
fill|to make full|v
within|inside, before the end of|o
beg|to ask desperately; to ask for money in the street|v;v
pleasure|feeling of enjoyment|o
vote|to choose in an election; choice so made|v;o
third|3rd|o
truck|large road vehicle for goods|o
invite|to ask someone to come|v
honest|truthful, not cheating|o
computer|machine that stores and works with data|o
draw|to make a picture with lines; to pull; game ending level|v;v;o
fit|to be the right size or shape; healthy; sudden attack of illness|v;o;o
apartment|set of rooms lived in, flat|o
often|many times, frequently|o
serve|to give food to; to work for; to be of use to|v;v;v
mama|mother (informal)|o
photo|picture made with a camera|o
action|doing something; fighting; movement in a film|o;o;o
english|of England; the English language|o;o
private|for one person only, not public; lowest army rank|o;o
hungry|wanting food|o
heaven|home of God; state of great happiness|o;o
strike|to hit; refusal to work as a protest|v;o
college|place of study after school|o
disappear|to go out of sight, to vanish|v
lieutenant|junior officer in the army or police|o
press|to push on; the news media|v;o
beer|alcoholic drink made from grain|o
difference|way in which things are not the same|o
client|person who pays for a service|o
cute|pretty in a small way; sweet|o;o
wind|moving air; to turn or coil|o;v
village|small group of houses in the country|o
green|colour of grass|o
planet|large body going round a star|o
bloody|(British, mild swear) damned; covered in blood|o;o
ticket|printed slip giving entry or travel|o
finger|one of the five parts at the end of the hand|o
i-i|(stammered) I|f1s
large|big in size|o
lt|Lt., short for Lieutenant|o
admit|to agree that something is true; to let in|v;v
appear|to come into sight; to seem|v;v
especially|above all, more than in other cases|o
receive|to be given, to get|v
board|flat piece of wood; group in charge; to get on a vehicle|o;o;v
beep|short high electronic sound|o
french|of France; the French language|o;o
type|sort, category; to write on a keyboard|o;v
involved|taking part in; complicated|o;o
hero|person admired for brave deeds; main character|o;o
professor|senior university teacher|o
hole|opening or hollow space|o
impossible|not able to happen|o
obviously|clearly, as anyone can see|o
bell|hollow metal object that rings|o
neither|not either of two; nor|o;o
enter|to go in; to key in data|v;v
evil|very bad in a moral way; wickedness|o;o
besides|as well as; anyway|o;o
issue|matter being discussed; problem; edition of a magazine|o;o;o
jail|prison|o
member|person belonging to a group|o
cost|price to be paid; to be priced at|o;v
address|where a person lives; to speak to; to deal with|o;v;v
spirit|soul; ghost; mood, courage|o;o;o
guest|person invited or staying|o
release|to set free; to make public|v;v
manage|to succeed in doing; to be in charge of|v;v
stone|hard mineral matter; small rock|o;o
la|(sung syllable) la|o
roll|to turn over and over; small round loaf; list of names|v;o;o
rain|water falling from clouds|o
holy|sacred, belonging to God|o
suck|to draw in with the mouth; (informal) to be very bad|v;v
wine|alcoholic drink made from grapes|o
river|large stream of water flowing to the sea|o
cash|money in notes and coins|o
huge|very large|o
trick|clever act meant to deceive or amuse; to deceive|o;v
beginning|first part, start|o
mate|friend (British); partner in a pair; to breed|o;o;v
bomb|weapon that explodes; to attack with these|o;v
suggest|to put forward an idea|v
driving|operating a vehicle|o
congratulations|(said to someone on their good news)|g
feed|to give food to|v
german|of Germany; the German language|o;o
fail|to not succeed|v
price|money asked for something|o
bottle|glass or plastic container for liquid|o
bus|large road vehicle carrying passengers|o
survive|to stay alive through|v
complete|whole, with nothing missing; to finish|o;v
south|direction towards the bottom of a map|o
race|contest of speed; group of people by descent; to move fast|o;o;v
battle|fight between armed forces|o
laughter|sound of laughing|o
mountain|very high hill|o
wash|to clean with water|v
level|height or standard reached; flat and even|o;o
whose|belonging to whom|o
final|last, at the end; deciding match|o;o
duty|what you must do; tax on goods|o;o
chicken|farm bird kept for eggs and meat; coward|o;o
pretend|to act as if something were true|v
singing|making music with the voice|o
north|direction towards the top of a map|o
mrs|Mrs, title for a married woman|o
engine|machine that makes a vehicle move|o
madam|polite way of addressing a woman|o
crowd|large group of people together|o
favor|kind act done for someone; support; to prefer|o;o;v
settle|to agree an end to; to make a home somewhere; to come to rest|v;v;v
stage|raised floor for performing; step in a process|o;o
ghost|spirit of a dead person|o
exist|to be, to be real|v
summer|warmest season of the year|o
magic|power to do the impossible; tricks that seem impossible|o;o
dirty|not clean; rude, indecent|o;o
colonel|senior army officer|o
camp|place to stay in tents; to stay in one|o;v
yell|to shout loudly|v
holding|keeping in the hands|o
remind|to make someone remember|v
immediately|at once, without delay|o
fat|having much flesh; greasy substance in food|o;o
moon|body that goes round the earth at night|o
upon|on (formal)|o
director|person in charge of a company or a film|o
christ|(exclamation of anger or shock); title for Jesus|g;o
bore|to make someone tired and uninterested; to drill a hole|v;v
mission|task someone is sent to do|o
aunt|sister of your parent|o
block|solid piece; stretch of street between corners; to get in the way of|o;o;v
dig|to make a hole in the ground|v
pack|to put things into a bag or case; packet; group of animals|v;o;o
wound|injury to the body; to injure; wound, past of wind|o;v;o
suddenly|all at once, without warning|o
kitchen|room where food is cooked|o
usually|most of the time, as a rule|o
account|record of money; description of events; (account for) to explain|o;o;v
er|(sound of hesitation)|g
color|red, blue, green and the rest; to add colour to|o;v
rid|(get rid of) to free yourself from|v
result|what follows from something; outcome of a test|o;o
crap|(vulgar) rubbish, nonsense; excrement|o;o
yo|(informal greeting or call for attention)|g
grand|impressive, large in a fine way; thousand dollars (informal)|o;o
sky|space above the earth|o
warm|slightly hot; friendly|o;o
piss|(vulgar) to urinate; (pissed off) annoyed|v;o
worst|least good of all|o
shake|to move quickly to and fro|v
aah|(cry of fear or pain)|g
low|near the ground; small in amount; deep in sound|o;o;o
challenge|hard task that tests you; to question, to dare|o;v
video|recording of moving pictures|o
detail|small point or feature|o
everywhere|in or to all places|o
practice|repeated exercise to improve; doctor's or lawyer's business|o;o
ow|(cry of sudden pain)|g
ear|body part used for hearing|o
yep|yes (informal)|o
gay|homosexual; (dated) cheerful|o;o
angel|messenger of God; very kind person|o;o
condition|state something is in; requirement that must be met|o;o
shh|(asking for silence)|g
conversation|talk between people|o
nervous|anxious, easily frightened|o
themselves|(reflexive of they) their own selves|o
hunt|to chase in order to kill or catch; to search for|v;v
hire|to pay someone to work; to pay to use for a time|v;v
discuss|to talk about with others|v
copy|thing made to be like another; to make one|o;v
leader|person others follow|o
rose|flower with thorns on its stem; rose, past of rise|o;o
hadn|(in hadn't) negative form of had|o
tape|strip of sticky material; recording; to record|o;o;v
chase|to run after in order to catch|v
gas|substance like air; petrol (American)|o;o
egg|oval object laid by a bird|o
bone|hard piece of the skeleton|o
'ii|(misprint of 'll) will|o
band|group of musicians; strip of material|o;o
wood|hard material from trees; small forest|o;o
innocent|not guilty; knowing no harm|o;o
department|section of a company or government|o
double|twice as much; to make twice as much|o;v
accord|agreement; (of one's own accord) willingly|o;o
favorite|liked best; person or thing liked best|o;o
further|to a greater distance or degree|v
correct|right, with no mistakes; to put right|o;v
otherwise|if not, or else; in other ways|o;o
pray|to speak to God|v
freak|strange person or thing; to lose control (freak out)|o;v
awesome|very impressive, great (informal)|o
monster|large frightening creature; cruel person|o;o
prince|son of a king or queen|o
convince|to make someone believe|v
pressure|force pressing on something; strong urging|o;o
throat|passage from the mouth down the neck|o
add|to put with something else; to find a total|v;v
nine|9|o
bury|to put in the ground and cover|v
trap|device for catching; to catch and hold|o;v
reading|taking in written words|o
narrator|voice that tells the story|o
criminal|person who breaks the law; against the law|o;o
herself|(reflexive of she) her own self|o
ourselves|(reflexive of we) our own selves|o
folk|people in general; ordinary people; traditional music|o;o;o
nose|part of the face used for smelling|o
target|thing aimed at; goal to reach|o;o
driver|person who drives|o
crash|to hit violently and be damaged; loud noise of breaking|v;o
plant|living thing that grows in soil; factory; to put in the ground|o;o;v
bullet|small metal piece fired from a gun|o
corner|point where two lines or streets meet|o
energy|power to do work; liveliness|o;o
guilty|having done wrong; feeling at fault|o;o
apart|separated, away from each other|o
bunch|group of things held or growing together|o
empty|holding nothing; to take everything out of|o;v
writing|words put on paper|o
danger|chance of harm|o
commit|to do something wrong; to bind yourself to|v;v
west|direction where the sun sets|o
sergeant|rank in the police or army above private|o
buck|dollar (informal); male deer|o;o
flight|journey by air; act of fleeing|o;o
helping|giving aid to; portion of food|o;o
hat|covering worn on the head|o
weekend|Saturday and Sunday|o
include|to have as a part; to put in|v;v
knife|tool with a blade for cutting|o
code|system of signs or rules; secret writing|o;o
upstairs|on or to a higher floor|o
twice|two times|o
heavy|weighing much; hard to bear|o;o
operation|surgery; planned action; working of a machine|o;o;o
indeed|really, in fact|o
wild|living in nature, not tamed; uncontrolled|o;o
fellow|man, chap; belonging to the same group|o;o
refuse|to say no to|v
claim|to say something is true; to demand as yours|v;v
character|nature of a person; person in a story; letter or sign|o;o;o
opportunity|chance to do something good|o
apologize|to say sorry|v
pregnant|carrying a baby before birth|o
recognize|to know again; to accept officially|v;v
local|of the nearby area|o
fan|admirer, supporter; device that moves air|o;o
loud|making much noise; strong and hard on the eye|o;o
discover|to find out, to find for the first time|v
silly|foolish in a light way|o
tooth|hard white part in the mouth for biting|o
neck|part joining the head to the body|o
bathroom|room with a bath or toilet|o
speed|how fast something moves; to go too fast|o;v
breakfast|first meal of the day|o
deliver|to take goods to someone; to give a speech; to help at a birth|v;v;v
blind|unable to see; cover for a window|o;o
above|higher than, over|o
hiding|keeping out of sight|o
focus|to give full attention to; centre of interest|v;o
assume|to take as true without proof; to take on|v;v
fresh|newly made or picked; clean and cool|o;o
applause|clapping to show approval|o
however|but, all the same; in whatever way|o;o
lift|to raise; elevator (British); ride in someone's car|v;o;o
extra|more than usual, added; person in a crowd scene|o;o
cheat|to act dishonestly to win or gain|v
stole|stole, past of steal|o
restaurant|place where meals are bought and eaten|o
devil|evil spirit; (the Devil) Satan|o;o
skin|outer covering of the body|o
cousin|child of your aunt or uncle|o
unit|single part of a larger whole; fixed amount used in measuring|o;o
cup|small container for drinking|o
beach|sandy or stony shore by the sea|o
excited|feeling eager and stirred up|o
van|covered road vehicle for goods|o
language|words a people speak; way of expressing|o;o
hall|large room for meetings; passage inside a door|o;o
introduce|to make people known to each other; to bring in for the first time|v;v
itself|(reflexive of it) its own self|o
acting|performing a part; holding a post for a time|o;o
divorce|legal end of a marriage; to end a marriage|o;v
beauty|quality of being lovely to look at|o
shock|sudden upsetting surprise; to upset badly|o;v
tight|fitting closely, hard to move; with little money to spare|o;o
event|something that happens; organised occasion|o;o
shame|painful feeling of having done wrong; pity|o;o
program|plan of events; set of instructions for a computer; broadcast show|o;o;o
following|coming after|o
cake|sweet food baked from flour and sugar|o
project|planned piece of work; to throw forward|o;v
bottom|lowest part; buttocks|o;o
closer|nearer|o
damage|harm done to something; to harm|o;v
shooting|firing a gun; killing by gunfire|o;o
bite|to cut with the teeth|v
approach|to come near to; way of dealing with something|v;o
interview|meeting where someone is questioned; to question in this way|o;v
nature|the physical world of plants and animals; character of a person|o;o
